Neighborhood,life_expectancy,population,unemployed_avg,accidents_count,stops_count,Latitude,Longitude,no2_avg,rail_count,acc_rate,stops_rate,unemp_rate,rail_rate
la Guineueta,84.0,15231,5886.583333333333,52,26,41.43889923076923,2.168258307692308,30.81293952180028,3.0,3.4140896855098153,1.7070448427549076,38.64869892543715,0.19696671262556628
la Marina de Port,83.85,30584,10650.833333333334,105,54,41.36127333333334,2.140595777777778,36.359165424739196,,3.4331676693696047,1.7656290871043683,34.82485395413724,
la Maternitat i Sant Ramon,86.25,23948,5812.833333333333,203,65,41.38158036923077,2.1195483230769234,27.97432239657632,4.0,8.476699515617172,2.714214130616335,24.272729803463058,0.1670285618840822
la Nova Esquerra de l'Eixample,84.85,58180,13979.166666666666,387,35,41.38304922857143,2.148382142857143,56.24068322981366,12.0,6.651770367823994,0.6015812994156067,24.02744356594477,0.2062564455139223
la Prosperitat,84.4,26389,9217.833333333334,73,19,41.44274905263158,2.180899894736842,30.81293952180028,3.0,2.7663041418772973,0.7199969684338172,34.93058976593783,0.11368373185797112
la Sagrada Família,84.25,51539,12985.25,377,49,41.40543710204082,2.177139857142857,39.85592011412268,9.0,7.314848949339335,0.9507363355905236,25.194997962707856,0.17462504123091252
la Sagrera,85.2,29084,8348.583333333334,70,38,41.42370392105263,2.1887744999999996,41.1611030478955,6.0,2.406821620134782,1.3065603080731674,28.70507266309082,0.20629899601155274
la Salut,82.30000000000001,13185,3308.5833333333335,58,34,41.411975088235295,2.1555793529411766,44.57453416149068,,4.398938187334092,2.578687902919985,25.093540639615725,
la Teixonera,83.85,11619,3247.9166666666665,31,20,41.4228506,2.1458786,30.81293952180028,2.0,2.668043721490662,1.7213185299939755,27.953495711047992,0.17213185299939754
la Trinitat Nova,79.94999999999999,7261,4048.3333333333335,75,29,41.449447793103445,2.18475424137931,30.81293952180028,8.0,10.329155763668917,3.993940228618648,55.75448744433733,1.101776614791351
la Trinitat Vella,85.15,9983,5399.166666666667,68,25,41.45096092,2.19111584,41.1611030478955,4.0,6.811579685465291,2.504257237303416,54.08360880162944,0.40068115796854653
la Vall d'Hebron,83.25,5784,1504.0833333333333,64,18,41.430015499999996,2.1472181666666668,30.81293952180028,5.0,11.065006915629322,3.1120331950207465,26.00420700783771,0.8644536652835407
la Vila Olímpica del Poblenou,85.1,9367,2552.5,121,23,41.39078869565217,2.195947,39.85592011412268,3.0,12.91768976193018,2.4554286324330095,27.24991993167503,0.3202732998825665
la Vila de Gràcia,83.0,50662,13124.75,178,43,41.402759930232556,2.155894674418605,44.57453416149068,7.0,3.513481504875449,0.8487623860092377,25.906497966918007,0.138170620978248
les Corts,85.25,46009,11180.75,319,67,41.387390985074624,2.134677388059701,36.359165424739196,6.0,6.933426068812624,1.4562368232302376,24.30122367362907,0.13040926775196157
les Roquetes,82.05,15590,6227.25,40,36,41.44726841666667,2.1745511666666664,30.81293952180028,4.0,2.565747273893521,2.3091725465041693,39.94387427838358,0.25657472738935216
les Tres Torres,86.0,16667,2126.25,161,30,41.39709523333333,2.1295371666666667,27.97432239657632,9.0,9.659806803863923,1.7999640007199855,12.757244855102897,0.5399892002159956
